iter	Passed	Remaining
459	799	938
460	800	936
461	802	934
462	803	932
463	805	930
464	806	928
465	808	926
466	809	924
467	811	922
468	812	920
469	814	918
470	815	916
471	817	914
472	818	912
473	820	909
474	821	907
475	822	905
476	823	903
477	825	901
478	826	899
479	827	896
480	829	894
481	830	892
482	832	890
483	833	888
484	835	886
485	836	884
486	837	882
487	839	880
488	840	878
489	841	876
490	843	874
491	844	872
492	846	870
493	848	868
494	849	866
495	850	864
496	852	862
497	853	860
498	855	858
499	856	856
500	858	854
501	859	852
502	861	850
503	862	849
504	864	847
505	866	845
506	867	843
507	868	841
508	870	839
509	871	837
510	873	835
511	874	833
512	876	832
513	878	830
514	879	828
515	880	826
516	882	824
517	883	822
518	884	820
519	886	818
520	887	816
521	888	813
522	890	811
523	891	810
524	893	808
525	895	806
526	896	804
527	897	802
528	899	800
529	900	798
530	902	796
531	903	794
532	904	792
533	906	790
534	907	788
535	909	786
536	910	785
537	911	783
538	913	781
539	914	779
540	916	777
541	917	775
542	919	773
543	920	771
544	921	769
545	923	767
546	925	766
547	926	764
548	927	762
549	929	760
550	931	758
551	932	757
552	934	755
553	936	753
554	937	751
555	939	750
556	940	748
557	942	746
558	944	744
559	946	743
560	947	741
561	948	739
562	950	737
563	951	735
564	952	733
565	954	731
566	955	729
567	958	728
568	959	727
569	961	725
570	963	723
571	965	722
572	967	720
573	969	719
574	970	717
575	972	715
576	974	714
577	975	712
578	977	710
579	978	708
580	980	706
581	981	704
582	982	702
583	983	700
584	985	698
585	986	696
586	987	695
587	989	693
588	990	691
589	991	689
590	993	687
591	994	685
592	996	683
593	997	681
594	998	679
595	1000	677
596	1001	676
597	1003	674
598	1004	672
599	1006	670
600	1007	668
601	1008	666
602	1010	665
603	1011	663
604	1012	661
605	1013	659
606	1015	657
607	1016	655
608	1018	653
609	1019	651
610	1020	650
611	1022	648
612	1023	646
613	1025	644
614	1026	642
615	1027	640
616	1029	638
617	1030	637
618	1032	635
619	1033	633
620	1035	631
621	1036	630
622	1038	628
623	1039	626
624	1041	624
625	1042	622
626	1044	621
627	1045	619
628	1046	617
629	1048	615
630	1049	613
631	1050	611
632	1052	610
633	1053	608
634	1055	606
635	1056	604
636	1057	602
637	1059	601
638	1060	599
639	1061	597
640	1063	595
641	1064	593
642	1065	591
643	1067	590
644	1069	588
645	1070	586
646	1072	584
647	1073	583
648	1074	581
649	1076	579
650	1077	577
651	1079	576
652	1080	574
653	1082	572
654	1083	570
655	1084	568
656	1085	566
657	1087	565
658	1088	563
659	1090	561
660	1091	559
661	1092	558
662	1094	556
663	1096	554
664	1097	552
665	1099	551
666	1100	549
667	1102	547
668	1103	545
669	1104	544
670	1106	542
671	1107	540
672	1109	538
673	1110	537
674	1111	535
675	1112	533
676	1114	531
677	1116	530
678	1117	528
679	1118	526
680	1120	524
681	1121	522
682	1122	521
683	1124	519
684	1125	517
685	1127	516
686	1129	514
687	1130	512
688	1131	510
689	1132	508
690	1133	507
691	1135	505
692	1136	503
693	1137	501
694	1139	499
695	1140	498
696	1141	496
697	1143	494
698	1144	492
699	1145	491
700	1146	489
701	1148	487
702	1149	485
703	1150	483
704	1151	481
705	1153	480
706	1154	478
707	1155	476
708	1157	475
709	1158	473
710	1159	471
711	1160	469
712	1162	467
713	1163	465
714	1164	464
715	1166	462
716	1167	460
717	1168	459
718	1170	457
719	1171	455
720	1173	453
721	1174	452
722	1175	450
723	1176	448
724	1177	446
725	1179	445
726	1180	443
727	1181	441
728	1183	439
729	1184	438
730	1186	436
731	1187	434
732	1189	433
733	1190	431
734	1191	429
735	1193	428
736	1194	426
737	1196	424
738	1197	422
739	1198	421
740	1200	419
741	1202	418
742	1203	416
743	1205	414
744	1206	412
745	1207	411
746	1209	409
747	1210	407
748	1211	405
749	1213	404
750	1215	402
751	1216	401
752	1217	399
753	1219	397
754	1220	396
755	1222	394
756	1223	392
757	1224	390
758	1225	389
759	1226	387
760	1228	385
761	1230	384
762	1231	382
763	1232	380
764	1234	379
765	1235	377
766	1237	375
767	1238	374
768	1239	372
769	1240	370
770	1242	368
771	1243	367
772	1245	365
773	1247	364
774	1248	362
775	1249	360
776	1251	359
777	1252	357
778	1254	355
779	1255	354
780	1256	352
781	1258	350
782	1259	349
783	1261	347
784	1263	345
785	1264	344
786	1266	342
787	1267	340
788	1268	339
789	1269	337
790	1271	335
791	1273	334
792	1274	332
793	1276	331
794	1278	329
795	1280	328
796	1281	326
797	1283	324
798	1284	323
799	1286	321
800	1287	319
801	1289	318
802	1291	316
803	1292	315
804	1294	313
805	1295	311
806	1297	310
807	1298	308
808	1299	306
809	1301	305
810	1302	303
811	1304	301
812	1305	300
813	1306	298
814	1308	296
815	1309	295
816	1311	293
817	1312	292
818	1313	290
819	1315	288
820	1317	287
821	1318	285
822	1319	283
823	1321	282
824	1323	280
825	1324	279
826	1326	277
827	1327	275
828	1329	274
829	1330	272
830	1332	271
831	1334	269
832	1336	267
833	1337	266
834	1339	264
835	1340	263
836	1342	261
837	1343	259
838	1345	258
839	1346	256
840	1347	254
841	1349	253
842	1350	251
843	1352	249
844	1353	248
845	1355	246
846	1357	245
847	1358	243
848	1360	241
849	1361	240
850	1363	238
851	1365	237
852	1367	235
853	1368	233
854	1370	232
855	1371	230
856	1372	229
857	1374	227
858	1375	225
859	1378	224
860	1379	222
861	1381	221
862	1382	219
863	1384	217
864	1385	216
865	1387	214
866	1388	213
867	1389	211
868	1391	209
869	1392	208
870	1394	206
871	1396	204
872	1397	203
873	1399	201
874	1400	200
875	1401	198
876	1403	196
